idPessoa,data_hora,trabalho_proprio,historico_familiar,tratamento,interferencia_trabalho,trabalho_remoto,empresa_ti,conhece_opcoes,programa_saude,busca_tratamento,anonimidade,licenca_medica,mental_consequencia,fisica_consequencia,mental_entrevista,fisica_entrevista,mental_fisica,houve_consequencias
190,2014-08-27 12:53:13,No,Yes,Yes,Never,No,Yes,Not sure,Don't know,No,Yes,Somewhat easy,Maybe,No,No,No,Don't know,No
191,2014-08-27 12:53:15,Yes,Yes,Yes,Often,Yes,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,Maybe,No,Maybe,Don't know,Yes
192,2014-08-27 12:53:40,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Maybe,No,No
193,2014-08-27 12:54:11,No,No,No,Sometimes,No,Yes,No,No,No,Don't know,Don't know,Yes,Maybe,No,Maybe,Don't know,No
194,2014-08-27 12:54:11,No,No,Yes,Rarely,No,Yes,No,No,No,Yes,Don't know,No,No,No,No,Don't know,No
195,2014-08-27 12:54:30,No,No,No,Sometimes,No,Yes,No,No,No,Don't know,Very difficult,Yes,Yes,No,No,No,Yes
196,2014-08-27 12:54:47,Yes,Yes,No,Never,No,Yes,No,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Don't know,No
197,2014-08-27 12:55:01,No,No,No,Never,Yes,Yes,Not sure,No,No,Don't know,Don't know,Maybe,Maybe,No,No,Don't know,No
198,2014-08-27 12:55:38,No,No,No,Rarely,No,Yes,No,No,No,Yes,Somewhat easy,No,No,No,Maybe,No,No
199,2014-08-27 12:56:13,No,Yes,No,NA,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Maybe,Yes,No
200,2014-08-27 12:56:56,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe,No,Maybe,Don't know,No
201,2014-08-27 12:57:38,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Very easy,No,No,No,No,Yes,No
202,2014-08-27 12:57:52,No,No,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,No
203,2014-08-27 12:58:10,No,No,Yes,Often,Yes,Yes,Not sure,No,No,Don't know,Very difficult,Maybe,Maybe,Maybe,Maybe,Don't know,No
204,2014-08-27 12:58:42,No,No,No,Sometimes,No,Yes,Yes,No,No,Don't know,Very difficult,Yes,No,No,Yes,Don't know,No
205,2014-08-27 13:00:38,No,Yes,No,NA,Yes,Yes,No,Don't know,Don't know,Don't know,Very easy,No,No,No,No,Yes,No
206,2014-08-27 13:02:14,No,Yes,Yes,Sometimes,Yes,Yes,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Yes
207,2014-08-27 13:03:05,No,No,Yes,Sometimes,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,No,No,Maybe,Maybe,Yes,No
208,2014-08-27 13:04:18,No,No,Yes,Often,No,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,No,No,Maybe,Don't know,No
209,2014-08-27 13:04:45,No,No,No,Never,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No
210,2014-08-27 13:05:45,No,No,No,NA,No,Yes,No,No,No,No,Very easy,Yes,Maybe,No,Maybe,Don't know,No
211,2014-08-27 13:06:00,No,No,No,NA,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Yes,No
212,2014-08-27 13:06:12,No,Yes,No,Sometimes,No,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,Maybe,Don't know,No
213,2014-08-27 13:07:24,Yes,No,Yes,Often,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,Maybe,Don't know,No
214,2014-08-27 13:07:40,No,Yes,Yes,Sometimes,No,Yes,No,No,No,No,Don't know,Yes,Maybe,No,Maybe,No,Yes
215,2014-08-27 13:07:42,No,No,Yes,Sometimes,No,No,Yes,Don't know,Don't know,Yes,Very easy,No,No,No,Yes,Yes,No
216,2014-08-27 13:07:46,Yes,Yes,Yes,Sometimes,Yes,Yes,No,Don't know,Don't know,Don't know,Very difficult,No,No,No,No,Don't know,No
217,2014-08-27 13:08:17,Yes,No,Yes,Often,Yes,Yes,Yes,No,No,Yes,Very difficult,No,No,Maybe,Yes,Yes,No
218,2014-08-27 13:09:24,Yes,No,No,NA,No,Yes,Yes,No,Don't know,Yes,Very easy,No,No,No,No,Yes,No
219,2014-08-27 13:09:37,No,No,Yes,Never,No,No,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,Don't know,No
220,2014-08-27 13:09:39,No,No,No,NA,No,Yes,Not sure,No,No,Don't know,Very easy,Yes,No,No,No,Don't know,No
221,2014-08-27 13:12:31,No,No,No,NA,No,Yes,No,No,No,Don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No
222,2014-08-27 13:12:43,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Don't know,No
223,2014-08-27 13:14:53,No,No,No,Rarely,No,Yes,No,No,No,Don't know,Don't know,No,No,No,Maybe,Don't know,No
224,2014-08-27 13:15:19,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Very difficult,Yes,No,No,No,No,No
225,2014-08-27 13:15:25,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,Yes,Yes,No
226,2014-08-27 13:18:18,No,No,No,NA,No,Yes,No,Don't know,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No
227,2014-08-27 13:18:44,No,No,No,Rarely,Yes,Yes,Yes,No,No,Don't know,Very difficult,No,No,No,Maybe,Yes,No
228,2014-08-27 13:19:40,Yes,No,No,Sometimes,Yes,Yes,Not sure,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,Maybe,Yes,No
229,2014-08-27 13:21:00,No,No,No,Never,No,Yes,Not sure,No,Don't know,Don't know,Very easy,Maybe,No,Maybe,Maybe,Yes,No
230,2014-08-27 13:22:42,Yes,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Maybe,Yes,No
231,2014-08-27 13:22:49,No,No,Yes,Sometimes,No,Yes,No,No,Yes,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,Yes
232,2014-08-27 13:23:38,No,No,Yes,Rarely,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,Maybe,Maybe,No,No
233,2014-08-27 13:24:34,No,No,Yes,Sometimes,No,No,Not sure,Don't know,Don't know,Don't know,Very difficult,Yes,No,No,Maybe,No,No
234,2014-08-27 13:24:57,No,No,No,Sometimes,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Maybe,No,No
235,2014-08-27 13:26:35,No,No,No,NA,No,Yes,No,Don't know,Don't know,Yes,Somewhat easy,No,No,No,No,Yes,No
236,2014-08-27 13:26:54,No,No,No,Never,No,Yes,No,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,Maybe,No,No
237,2014-08-27 13:27:18,No,Yes,Yes,Often,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,Yes,Don't know,No
238,2014-08-27 13:29:45,No,Yes,No,NA,No,Yes,No,No,No,Yes,Somewhat difficult,No,No,No,Yes,No,Yes
239,2014-08-27 13:29:57,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No
240,2014-08-27 13:31:03,No,Yes,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No,Yes
241,2014-08-27 13:31:35,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,Maybe,Maybe,No,No
242,2014-08-27 13:32:31,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Don't know,Somewhat difficult,Maybe,No,No,Maybe,No,Yes
243,2014-08-27 13:32:48,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Don't know,No
244,2014-08-27 13:33:32,No,No,No,NA,No,Yes,No,No,No,Yes,Somewhat difficult,Maybe,No,No,Yes,No,No
245,2014-08-27 13:34:03,No,No,No,Never,Yes,Yes,Yes,Don't know,Don't know,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
246,2014-08-27 13:35:23,No,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Maybe,No,Maybe,No,Yes
247,2014-08-27 13:35:40,No,No,Yes,Often,No,No,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
248,2014-08-27 13:37:18,No,No,No,NA,No,No,No,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No
249,2014-08-27 13:37:47,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,Yes,Don't know,No
250,2014-08-27 13:38:17,No,Yes,Yes,Rarely,Yes,No,Yes,Yes,Don't know,Yes,Don't know,Maybe,No,Maybe,Yes,Don't know,No
251,2014-08-27 13:39:00,No,Yes,Yes,Sometimes,Yes,No,No,No,Don't know,Yes,Somewhat easy,Maybe,No,No,Yes,Yes,No
252,2014-08-27 13:40:58,No,Yes,No,NA,No,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,No,Maybe,Yes,Yes
253,2014-08-27 13:42:38,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No,No,Maybe,Yes,No
254,2014-08-27 13:44:05,No,No,No,NA,No,No,Not sure,Don't know,Don't know,No,Very easy,Maybe,Maybe,No,No,Don't know,No
255,2014-08-27 13:44:47,No,No,No,Sometimes,No,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
256,2014-08-27 13:46:03,No,No,No,Often,No,Yes,No,No,No,Don't know,Somewhat difficult,Yes,No,No,Maybe,Don't know,No
257,2014-08-27 13:47:05,No,No,Yes,Sometimes,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Maybe,Yes,No
258,2014-08-27 13:47:27,No,No,No,Never,Yes,Yes,Yes,No,Yes,Don't know,Somewhat easy,No,No,No,No,Yes,No
259,2014-08-27 13:48:01,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,Yes,No,No,Yes,No,No
260,2014-08-27 13:49:15,No,Yes,Yes,Often,No,Yes,Yes,No,No,No,Very difficult,Yes,Maybe,No,Yes,No,Yes
261,2014-08-27 13:49:32,No,No,Yes,Rarely,No,Yes,No,No,No,Yes,Don't know,Maybe,Maybe,No,Maybe,Don't know,No
262,2014-08-27 13:52:05,No,No,No,Sometimes,Yes,Yes,Yes,No,No,No,Very difficult,Yes,Yes,No,Maybe,No,No
263,2014-08-27 13:52:57,No,No,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,No,Maybe,No,Yes,No
264,2014-08-27 13:53:21,No,Yes,Yes,Rarely,No,Yes,Yes,No,No,Yes,Very difficult,Maybe,No,No,Yes,No,No
265,2014-08-27 13:53:44,Yes,No,No,NA,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Yes,Yes,Don't know,No
266,2014-08-27 13:53:51,No,No,No,NA,No,Yes,Yes,No,Don't know,Don't know,Very easy,No,No,No,Maybe,Don't know,No
267,2014-08-27 13:54:00,No,No,Yes,Sometimes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,No,Yes,Yes,Yes,No
268,2014-08-27 13:54:24,Yes,Yes,Yes,Sometimes,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe,Maybe,Maybe,Don't know,Yes
269,2014-08-27 13:55:16,No,Yes,Yes,Often,No,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,Yes,Don't know,No
270,2014-08-27 13:55:22,No,No,No,Never,Yes,Yes,No,No,No,Don't know,Very easy,No,No,No,No,Don't know,No
271,2014-08-27 13:55:38,Yes,No,No,Sometimes,Yes,Yes,No,No,No,Don't know,Somewhat difficult,No,No,No,Maybe,No,No
272,2014-08-27 13:56:27,No,Yes,Yes,Never,No,No,No,Don't know,Don't know,Yes,Don't know,No,No,Maybe,Maybe,Yes,No
273,2014-08-27 13:56:35,No,No,No,NA,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,No,Yes,No
274,2014-08-27 13:59:24,No,No,No,Sometimes,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,Don't know,No
275,2014-08-27 13:59:35,No,No,Yes,Rarely,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,Maybe,No,No
276,2014-08-27 14:01:25,No,No,No,NA,No,Yes,No,Yes,Yes,Yes,Don't know,No,No,No,No,Don't know,No
277,2014-08-27 14:01:35,No,No,No,NA,No,No,No,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
278,2014-08-27 14:01:54,No,No,No,Sometimes,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,Don't know,No
279,2014-08-27 14:03:16,No,No,Yes,Rarely,No,No,Yes,Yes,Don't know,Don't know,Very easy,Maybe,No,No,No,Yes,No
280,2014-08-27 14:03:54,No,Yes,No,Sometimes,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,No,No
281,2014-08-27 14:03:59,Yes,Yes,Yes,Sometimes,Yes,Yes,Not sure,Yes,Yes,Don't know,Somewhat easy,Maybe,No,No,Yes,No,Yes
282,2014-08-27 14:06:26,No,No,No,Never,No,Yes,No,No,No,Yes,Don't know,Yes,No,No,Maybe,Don't know,No
283,2014-08-27 14:10:15,No,No,Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,No,Maybe,Don't know,No
284,2014-08-27 14:10:47,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Maybe,Don't know,No
285,2014-08-27 14:10:53,No,No,No,NA,No,No,Not sure,No,No,Don't know,Don't know,No,No,No,Yes,No,No
286,2014-08-27 14:11:46,No,Yes,Yes,Sometimes,No,Yes,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes,No
287,2014-08-27 14:11:52,No,Yes,Yes,Rarely,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
288,2014-08-27 14:11:55,No,No,No,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Very easy,No,No,No,Maybe,Yes,No
289,2014-08-27 14:13:02,No,No,Yes,Sometimes,No,Yes,Yes,No,No,Don't know,Don't know,No,Maybe,No,No,Don't know,Yes
290,2014-08-27 14:13:16,No,Yes,Yes,Rarely,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,No
291,2014-08-27 14:13:24,Yes,No,No,Never,No,Yes,No,No,No,No,Somewhat easy,No,No,No,No,Yes,No
292,2014-08-27 14:14:52,No,No,No,Never,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,Don't know,No
293,2014-08-27 14:15:13,No,Yes,Yes,Sometimes,No,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No,No,Maybe,Don't know,No
294,2014-08-27 14:15:21,No,No,No,Never,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
295,2014-08-27 14:15:57,No,No,Yes,Never,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Maybe,No,Maybe,Don't know,No
296,2014-08-27 14:16:00,No,No,No,NA,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Maybe,No,No
297,2014-08-27 14:18:20,No,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,No,No,Yes,Yes,No
298,2014-08-27 14:18:41,No,No,No,NA,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,No,Maybe,Maybe,Yes,No
299,2014-08-27 14:18:44,No,Yes,Yes,Sometimes,No,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,Maybe,Don't know,No
300,2014-08-27 14:19:08,No,No,No,Never,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Maybe,Maybe,Don't know,No
301,2014-08-27 14:19:12,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,No,No,Yes,No
302,2014-08-27 14:20:08,No,No,Yes,Sometimes,No,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,No,No,No,Yes,No
303,2014-08-27 14:20:43,No,No,No,Rarely,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,Maybe,Don't know,No
304,2014-08-27 14:21:37,No,Yes,Yes,Often,Yes,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,No,No,Yes,No
305,2014-08-27 14:21:42,No,No,Yes,Rarely,No,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,No,No,Yes,No
306,2014-08-27 14:22:00,No,Yes,Yes,Often,No,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Maybe,Maybe,Yes,No
307,2014-08-27 14:22:36,No,Yes,Yes,Rarely,No,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,No,No,Don't know,No
308,2014-08-27 14:22:43,No,No,No,NA,No,Yes,No,No,No,Don't know,Don't know,No,No,No,No,Don't know,Yes
309,2014-08-27 14:22:43,No,No,No,NA,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,Don't know,No
310,2014-08-27 14:23:51,No,No,No,Sometimes,No,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
311,2014-08-27 14:23:53,No,No,Yes,Often,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,Yes,Maybe,No,Maybe,Don't know,No
312,2014-08-27 14:24:15,No,No,Yes,Rarely,No,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No,No,No,Don't know,No
313,2014-08-27 14:25:41,Yes,No,Yes,Never,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,No,No,No,Yes,No
314,2014-08-27 14:25:54,No,Yes,Yes,Sometimes,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No,No
315,2014-08-27 14:26:32,No,Yes,No,NA,No,Yes,No,Don't know,Don't know,Don't know,Very easy,No,No,Maybe,Maybe,Yes,No
316,2014-08-27 14:27:20,No,No,No,NA,No,No,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,No,Don't know,No
317,2014-08-27 14:27:27,No,No,No,NA,No,No,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
318,2014-08-27 14:27:28,No,No,No,Never,No,No,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
319,2014-08-27 14:27:51,No,Yes,Yes,Often,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,No,Yes,Yes
320,2014-08-27 14:28:28,No,No,No,NA,No,Yes,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,No,Don't know,No
321,2014-08-27 14:28:41,No,Yes,Yes,Rarely,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
322,2014-08-27 14:28:43,No,No,Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,No,Maybe,No,No
323,2014-08-27 14:28:49,No,No,No,Never,No,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,No,Maybe,Maybe,Yes,No
324,2014-08-27 14:28:51,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,Maybe,Don't know,No
325,2014-08-27 14:29:19,No,No,Yes,Rarely,No,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
326,2014-08-27 14:30:33,No,No,No,NA,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
327,2014-08-27 14:31:06,No,No,No,Never,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,No,Don't know,No
328,2014-08-27 14:31:28,No,Yes,Yes,Sometimes,No,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No,No,No,Yes,No
329,2014-08-27 14:31:44,Yes,No,No,Never,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
330,2014-08-27 14:32:22,Yes,Yes,Yes,Rarely,No,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes,Maybe,No,Yes,Yes
331,2014-08-27 14:32:46,No,No,No,NA,No,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,No
332,2014-08-27 14:33:44,No,Yes,Yes,Sometimes,No,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,No
333,2014-08-27 14:34:47,No,No,No,NA,No,No,No,No,No,Yes,Somewhat easy,Maybe,No,No,Yes,No,No
334,2014-08-27 14:37:33,Yes,No,Yes,Often,No,Yes,No,No,No,Don't know,Very difficult,No,No,No,No,Don't know,No
335,2014-08-27 14:37:35,No,No,No,NA,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe,Maybe,Maybe,No,No
336,2014-08-27 14:37:46,No,No,No,Never,No,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Maybe,Maybe,Don't know,No
337,2014-08-27 14:38:06,No,No,Yes,Sometimes,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,Maybe,Don't know,No
338,2014-08-27 14:38:13,Yes,No,No,Sometimes,No,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Maybe,No,No,Don't know,No
339,2014-08-27 14:38:26,No,No,No,NA,No,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,Maybe,Don't know,No
340,2014-08-27 14:38:49,No,No,No,NA,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,Maybe,Yes,No
341,2014-08-27 14:38:54,No,No,No,NA,No,No,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,No,No
342,2014-08-27 14:39:07,No,Yes,No,Sometimes,Yes,Yes,Yes,No,No,Don't know,Very difficult,Yes,Maybe,No,Maybe,No,No
343,2014-08-27 14:39:20,No,No,No,Sometimes,No,Yes,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,Maybe,No,No
344,2014-08-27 14:41:09,No,No,No,NA,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Don't know,No
345,2014-08-27 14:41:16,No,No,No,Rarely,Yes,Yes,No,No,No,Don't know,Don't know,Yes,Maybe,No,Maybe,No,No
346,2014-08-27 14:44:29,No,Yes,Yes,Sometimes,No,Yes,Yes,No,No,Yes,Don't know,No,No,No,No,Don't know,No
347,2014-08-27 14:45:12,No,Yes,Yes,Sometimes,No,No,No,No,No,Don't know,Don't know,No,No,Maybe,Yes,Don't know,No
348,2014-08-27 14:45:45,No,Yes,Yes,Never,No,Yes,No,Yes,Yes,Don't know,Don't know,No,No,No,No,Don't know,No
349,2014-08-27 14:47:10,No,No,No,Sometimes,No,Yes,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
350,2014-08-27 14:47:28,No,Yes,Yes,Sometimes,No,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,Yes,No
351,2014-08-27 14:49:08,No,No,No,Often,No,No,No,No,No,Don't know,Don't know,Maybe,No,Maybe,Maybe,Don't know,No
352,2014-08-27 14:49:30,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,Yes,Yes,No
353,2014-08-27 14:51:29,No,No,No,Never,No,Yes,No,No,Don't know,Don't know,Very easy,No,No,No,Maybe,Yes,No
354,2014-08-27 14:52:44,No,Yes,Yes,Often,No,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,No,No,No,Don't know,No
355,2014-08-27 14:52:53,No,Yes,No,Sometimes,No,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,No,No,No,No
356,2014-08-27 14:53:11,No,No,Yes,Sometimes,No,No,Yes,No,Don't know,Yes,Don't know,No,No,No,No,No,No
357,2014-08-27 14:54:23,No,Yes,Yes,Sometimes,No,Yes,Not sure,No,No,Don't know,Don't know,Maybe,No,No,No,Don't know,No
358,2014-08-27 14:54:56,No,Yes,Yes,Sometimes,No,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe,No,No,Don't know,No
359,2014-08-27 14:57:46,No,No,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Somewhat easy,Yes,Yes,No,Maybe,Don't know,No
360,2014-08-27 14:58:01,Yes,No,No,NA,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
361,2014-08-27 14:59:59,No,No,No,NA,No,Yes,No,No,No,Don't know,Somewhat difficult,Maybe,No,No,No,Don't know,No
362,2014-08-27 15:03:56,Yes,Yes,Yes,Rarely,Yes,Yes,No,No,Don't know,Don't know,Somewhat difficult,No,No,No,Maybe,Yes,No
363,2014-08-27 15:04:41,Yes,Yes,Yes,Rarely,Yes,No,No,No,Don't know,No,Don't know,Maybe,No,No,Yes,No,No
364,2014-08-27 15:05:00,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Don't know,No,No,No,Yes,Yes,No
365,2014-08-27 15:05:21,No,No,Yes,Often,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,No,No,No,No
366,2014-08-27 15:09:58,No,Yes,Yes,Sometimes,No,Yes,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No
367,2014-08-27 15:11:30,No,Yes,No,NA,No,Yes,No,Yes,Yes,Yes,Very easy,No,No,No,No,Don't know,No
368,2014-08-27 15:13:33,No,Yes,Yes,Often,No,Yes,Yes,No,No,Yes,Very easy,No,No,No,No,Don't know,No
369,2014-08-27 15:14:50,No,Yes,Yes,Rarely,No,Yes,No,No,Don't know,Yes,Don't know,No,No,Maybe,Maybe,Don't know,No
370,2014-08-27 15:15:29,No,No,Yes,Sometimes,No,No,Not sure,No,No,No,Very easy,Yes,No,No,Maybe,No,No
371,2014-08-27 15:15:42,No,No,No,NA,No,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,No,Yes,No
372,2014-08-27 15:20:53,No,Yes,Yes,Often,No,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,No,Maybe,No,Yes
373,2014-08-27 15:21:59,No,Yes,Yes,Rarely,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,No,No,Yes,No
374,2014-08-27 15:22:20,No,No,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Maybe,Yes,No
375,2014-08-27 15:22:26,No,Yes,Yes,Rarely,No,Yes,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,No,No,Yes,Don't know,No
376,2014-08-27 15:22:43,No,No,Yes,Never,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Maybe,Don't know,No
377,2014-08-27 15:22:45,No,No,Yes,Rarely,No,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe,No,No,No,No
378,2014-08-27 15:22:50,No,Yes,Yes,Sometimes,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,No,No,No,Yes,No
379,2014-08-27 15:22:52,No,Yes,Yes,Rarely,No,No,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,No,No,Yes,No
